"Word","freq"
"Bark","0.030172414"
"Rebellious","0.004310345"
"Hell","0.204741379"
"Chess","0.006465517"
"Dark","0.398706897"
"Angry","0.096982759"
"Professor","0.122844828"
"Helicopter","0.002155172"
"Rocket","0.015086207"
"Courageous","0.00862069"
"Athletic","0.038793103"
"Blue","0.308189655"
"Lawyer","0.092672414"
"Lasso","0.004310345"
"Reckless","0.019396552"
"Crude","0.032327586"
"Locomotive","0.004310345"
"Arrogant","0.004310345"
"Gym","0.004310345"
"Darts","0.002155172"
"Tall","0.118534483"
"Domineering","0.004310345"
"Hostile","0.040948276"
"Tattoo","0.002155172"
"Forceful","0.017241379"
"Snake","0.094827586"
"Judge","0.165948276"
"Billiards","0.002155172"
"Tornado","0.002155172"
"Violent","0.07112069"
"Powerful","0.135775862"
"Jeep","0.034482759"
"Competitive","0.066810345"
"Garage","0.045258621"
"Strapping","0.006465517"
"Vulgar","0.015086207"
"Destructive","0.05387931"
"Briefcase","0.002155172"
"Bridegroom","0.006465517"
"Rough","0.088362069"
"Surgeon","0.023706897"
"Doctor","0.215517241"
"Wrench","0.002155172"
"Pliers","0.002155172"
"Tough","0.077586207"
"Wallet","0.012931034"
"Sports","0.105603448"
"Strong","0.435344828"
"Drill","0.07112069"
"Screwdriver","0.002155172"
"Astronaut","0.004310345"
"Hero","0.112068966"
"Skateboard","0.002155172"
"Pistol","0.058189655"
"Pilot","0.094827586"
"Fight","0.211206897"
"God","0.685344828"
"Truck","0.122844828"
"Dentist","0.025862069"
"Police","0.334051724"
"Dominant","0.140086207"
"Exterminator","0.002155172"
"Tractor","0.051724138"
"Engineer","0.090517241"
"Bicep","0.002155172"
"Devil","0.05387931"
"Aggressive","0.036637931"
"Chiseled","0.004310345"
"Politician","0.028017241"
"Poker","0.012931034"
"Master","0.155172414"
"Fishing","0.068965517"
"Hammer","0.019396552"
"Burly","0.006465517"
"Prisoner","0.015086207"
"Brawny","0.002155172"
"Veteran","0.058189655"
"Beer","0.073275862"
"Hairy","0.010775862"
"War","1"
"Hunting","0.073275862"
"Trousers","0.015086207"
"Janitor","0.00862069"
"Carpenter","0.012931034"
"Umpire","0.002155172"
"Hockey","0.002155172"
"Army","0.284482759"
"Cigars","0.004310345"
"President","0.823275862"
"Sheriff","0.043103448"
"Mechanic","0.010775862"
"Muscular","0.034482759"
"Bald","0.010775862"
"Baseball","0.122844828"
"Plumber","0.00862069"
"Gigalo","0.002155172"
"Bowtie","0.002155172"
"Football","0.077586207"
"Fraternity","0.012931034"
"Soldier","0.084051724"
"Boxing","0.002155172"
"Necktie","0.004310345"
"Duke","0.023706897"
"Sideburns","0.002155172"
"Cologne","0.019396552"
"Cowboy","0.034482759"
"Pirate","0.00862069"
"Goatee","0.002155172"
"Wrestling","0.002155172"
"Priest","0.034482759"
"Beard","0.056034483"
"Handsome","0.086206897"
"Mustache","0.010775862"
"Prince","0.07112069"
"Bachelor","0.012931034"
"King","0.189655172"
"Testosterone","0.002155172"
"Husband","0.282327586"
"Father","0.394396552"
"Brother","0.157327586"
"Uncle","0.010775862"
